Gene,MCF10A_Hypoxia_Log2,MCF12A_Hypoxia_Log2
AGBL1,0.009714332,0.014996494
AGBL2,0.051675788,0.047365313
AGBL3,0.02015052,0.007592604
AGBL4,0,0
AGBL5,0.228252847,0.797934267
AGER,0.321263475,0.433667447
AGFG1,0.233707543,0.560831432
AGFG2,0.359584662,-0.525567195
AGGF1,-0.067552993,-0.782202385
AGK,-0.097083773,-0.003047679
AGL,0.324693534,-0.087546554
AGMAT,0,-0.002418617
AGMO,0.016750541,0.027480724
AGO1,0.216071088,-0.475630741
AGO2,-0.154108107,-0.218313623
AGO3,0.15846165,0.222940404
AGO4,0.14752458,0.469240584
AGPAT1,-0.056041145,0.692823082
AGPAT2,0.361061045,1.311455994
AGPAT3,-0.132155269,-0.388084975
AGPAT4,0.392607888,0.263914996
AGPAT4-IT1,0.023556982,-0.051792346
AGPAT5,-0.27776567,-0.710681168
AGPS,-0.379836419,-0.191896769
AGR2,0.019054245,0.029588869
AGRN,0.735054078,0.540375262
AGRP,0.008399581,0
AGT,0.008399581,-0.051792346
AGTPBP1,0.216914033,-0.140989038
AGTRAP,-0.180589284,0.382100842
AHCTF1,-0.093200261,-1.065247085
AHCY,-0.269329128,0.904298246
AHCYL1,0.196385646,0.228321998
AHCYL2,0.429571633,0.440644482
AHDC1,0.684245818,1.841377435
AHI1,0.303261306,0.139586215
AHNAK,1.817062649,1.113111139
AHNAK2,1.873029146,-0.485139194
AHR,-0.345813528,-0.861535259
AHRR,-0.011386733,0.005066004
AHSA1,-0.942498384,-0.378971602
AHSA2,0.291987593,0.039239942
AICDA,-0.006992437,0.041989351
AIDA,0.820610263,1.122391081
AIF1L,-0.145567516,0.019557764
AIFM1,-0.904218733,0.196278419
AIFM2,-0.055936226,0.247715382
AIFM3,0.033308828,0.014433848
AIG1,0.353177649,0.712898655
AIM1,0.151866371,-1.594682001
AIM1L,0.22555083,0.585154213
AIMP1,-0.336420319,0.19848741
AIMP2,-1.003399125,-0.726688434
AIP,0.192065109,1.042549172
AIPL1,-0.165927793,-0.235900673
AJAP1,0.016750541,-0.090565668
AJUBA,0.310626067,0.052691151
AK1,0.326221881,0.697622514
AK2,-0.499893252,0.35994138
AK3,0.187469428,0.886934584
AK4,0.493433726,1.683746891
AK5,0.032138283,0.014997737
AK6,-0.124745653,0.227791787
AK7,0.166904008,0.017207899
AK8,0.033308828,-0.071296829
AK9,0.340832518,0.197895381
AKAP1,-0.281273906,-1.618641832
AKAP10,0.122150705,1.23162257
AKAP11,0.466817237,-0.232716072
AKAP12,0.989082125,0.100133575
AKAP13,0.864734032,0.319083006
AKAP17A,0.115221228,0.696519997
AKAP2,0.506508946,-1.119430689
AKAP3,-0.038412167,-0.027861285
AKAP5,-0.055783769,0.045132854
AKAP6,-0.111072269,-0.118629808
AKAP7,-0.134949136,0.130506297
AKAP8,0.064933408,0.03016772
AKAP8L,0.061109363,0.235875135
AKAP9,1.137434393,-0.174038579
AKIP1,-0.333256308,0.244780444
AKIRIN1,-0.294654585,0.111420602
AKIRIN2,0.145430909,0.453592624
AKNA,0.243267374,-0.085427709
AKNAD1,-0.002645175,-0.016044458
AKR1A1,0.188133534,0.209358211
AKR1B1,-0.159456551,0.849341125
AKR1B10,-0.277281922,-0.973001038
AKR1B15,0.042364029,0.091575523
AKR1C1,-0.396609345,0.48664156
AKR1C2,-1.261036779,-0.42200025
AKR1C3,-0.286457214,0.131078796
AKR1D1,-0.023595731,-0.007269311
AKR1E2,0.008399581,-0.124273687
AKR7A2,-0.003939238,1.11387627
AKR7A3,0.08406062,0.03159103
AKR7L,0.004156564,0.104737949
AKT1,0.001421404,0.817042876
AKT1S1,-0.087622541,0.151363866
AKT2,-0.082645691,0.117955146
AKT3,0.416293256,0.693581011
AKTIP,-0.110985089,-0.007931891
ALAD,-0.130075972,0.518111443
ALAS1,-0.054652667,-0.311262993
ALCAM,0.869727378,0.514832462
ALDH16A1,-0.845056663,0.321182997
ALDH18A1,-0.377209629,0.240089227
ALDH1A1,0,0
ALDH1A2,0.008399581,-0.015745211
ALDH1A3,0.565432292,-0.024244197
ALDH1B1,-0.527151431,-1.81139517
ALDH1L1,0.036096997,0.046727346
ALDH1L2,0.348248498,-0.310295958
ALDH2,0.0726471,0.276246773
ALDH3A1,-1.49012125,-0.605001969
ALDH3A2,-0.7243681,-0.785431886
ALDH3B1,0.45910492,0.056194935
ALDH3B2,0.081959859,0.080057587
ALDH4A1,-0.330713026,0.078572647
ALDH5A1,-0.267341729,-0.076025327
ALDH6A1,0.813262271,-0.162713556
ALDH7A1,-0.066901282,0.988650301
ALDH8A1,0.159348298,0.021225729
ALDH9A1,-0.098379553,0.635089976
ALDOA,1.49592594,2.817298551
ALDOC,2.955215719,4.195007875
ALG1,-0.632361776,-0.487943744
ALG10,-0.004291833,-0.050608006
ALG10B,0.122274916,0.082234049
ALG11,-0.154913003,0.056761605
ALG12,-0.138999926,-0.110837228
ALG13,0.334413667,0.085593988
ALG14,-0.256613851,0.202598932
ALG1L,0,0.027480724
ALG1L2,-0.01350292,-0.012482987
ALG2,-0.273840876,-0.488961548
ALG3,-0.701459774,-0.049494055
ALG5,-0.08316469,-0.017402592
ALG6,-0.270667712,-0.334518569
ALG8,-0.589064737,0.132849981
ALG9,0.141192485,0.764292374
ALK,-0.046811747,-0.006254995
ALKAL2,0.02505344,0.021225729
ALKBH1,0.094399299,0.217223031
ALKBH2,-0.432142671,-0.505696669
ALKBH3,0.101350169,-0.277687582
ALKBH4,0.106440356,-0.417026611
ALKBH5,0.795416792,2.020274654
ALKBH6,0.061148395,0.345391668
ALKBH7,-0.082147865,1.05271567
ALKBH8,-0.018145076,-0.369263433
ALMS1,-0.170609536,-0.165528417
ALOX12,0.036703445,-0.10434074
ALOX12B,0.008399581,0.023328569
ALOX15,0.008399581,0
ALOX15B,1.438548365,0.405187892
ALOX5,0,0.107435161
ALOX5AP,0.112142084,0.014997737
ALOXE3,0.438697872,-0.027349184
ALPK1,0.524531261,-0.079757777
ALPK2,0.008399581,-0.012482987
ALPK3,0.016750499,0.014997737
ALPL,0,0.014997737
ALPP,0.021670221,-0.024411984
ALS2,-0.013330685,-0.020478978
ALS2CL,0.735874981,-0.377532483
ALS2CR11,0.033308828,0
ALS2CR12,0,-0.012482974
ALX4,0.02505344,-0.018684209
ALYREF,-1.146315424,0.394682485
AMACR,0.104457003,0.169620961
AMBRA1,0.054137069,0.275110619
AMD1,-0.641285478,-1.230049195
AMDHD1,-0.022244202,0.047986755
AMDHD2,-0.117011025,-0.353060764
AMER1,-0.02519308,-0.790009607
AMER2,-0.006881933,-0.003040181
AMFR,0.357659352,0.8539907
AMH,0.082989617,0.161412095
AMIGO1,-0.17037032,-0.003526532
AMIGO2,0.100866572,-1.234879357
AMIGO3,-0.232006142,0.18220325
AMMECR1,0.142589485,-0.015909318
AMMECR1L,-0.0347044,-0.016231092
AMN,0.008399581,0.035763525
AMN1,0.191099949,0.052637474
AMOT,0.02505344,0.014997706
AMOTL1,0.384755884,0.819436526
AMOTL2,-0.358172877,-0.169497312
AMPD2,0.024400109,0.072753962
AMPD3,0.214898342,-0.1647565
AMPH,0.034199556,0.014997737
AMT,0.029063895,0.157106244
AMY2B,0.187962239,0.109280027
AMZ1,0.057795287,-0.012493862
AMZ2,0.203652862,0.169127219
ANAPC1,-0.181228646,-0.556704481
ANAPC10,-0.216650002,0.103975471
ANAPC11,-0.19898227,1.04557558
ANAPC13,-0.485263202,-0.38967277
ANAPC15,-0.500445103,0.575134586
ANAPC16,0.43348171,0.909541347
ANAPC2,-0.474399204,-0.120221687
ANAPC4,-0.332831377,-0.387580465
ANAPC5,-0.390099749,0.24444296
ANAPC7,-0.534717481,-0.546444405
ANG,0.632712429,1.957073299
ANGEL1,-0.324983147,-0.852495561
ANGEL2,-0.206104066,-1.061931108
ANGPT1,0.112793202,-0.113553299
ANGPT2,0.083214309,0.009387412
ANGPT4,0.009717048,-0.01248684
ANGPTL4,3.771977117,4.627730422
ANGPTL6,0,-0.014867844
ANGPTL8,0.008399581,0.021225729
ANK1,-0.125743792,-0.069390192
ANK2,-0.203178068,-0.224913058
ANK3,-0.001736581,-0.623188303
ANKAR,0.235563549,0.172739212
ANKDD1A,0.003093397,0.012833033
ANKDD1B,0,0.13290681
ANKEF1,-0.094264693,-0.723671336
ANKFN1,-0.023595731,0.041964753
ANKFY1,-0.374112799,-0.811292058
ANKH,0.357658246,0.021480417
ANKHD1,-0.027091845,0.359723307
ANKIB1,0.755606395,0.091902549
ANKK1,0.066635738,-0.015745211
ANKLE1,-0.043711495,0.155878314
ANKLE2,0.300083224,0.280463451
ANKMY1,0.107099431,-0.708204386
ANKMY2,0.26725322,0.202882098
ANKRA2,0.420811803,-0.040759083
ANKRD1,0,-0.01448778
ANKRD10,0.02635118,0.971263455
ANKRD11,0.12304112,0.255115157
ANKRD12,1.363431935,0.580274425
ANKRD13A,0.401908559,0.085153658
ANKRD13B,-0.213093431,-0.367355281
ANKRD13C,0.05001079,0.123061617
ANKRD13D,0.019262908,0.485774393
ANKRD16,-0.023607928,-0.226513256
ANKRD17,0.414243878,-0.61005152
ANKRD18A,0.111759368,-0.219297258
ANKRD18B,0.378176373,0.032601168
ANKRD19P,0.169167361,0.052090222
ANKRD2,0.088809806,0.533462851
ANKRD20A1,0.013383989,0.064566889
ANKRD20A2,0,-0.015087832
ANKRD20A3,0.124928807,-0.075972629
ANKRD20A4,0.029160786,-0.048868466
ANKRD20A5P,0.059915016,-0.429914425
ANKRD20A8P,-0.067675516,-0.062800341
ANKRD22,-0.185482275,0.050493965
ANKRD23,-0.04405379,0.063672458
ANKRD24,0,-0.027861273
ANKRD26,0.042066354,-0.199200371
ANKRD27,-0.080270861,0.191501776
ANKRD28,0.187549007,-0.499782889
ANKRD29,0.033184448,-0.289461757
ANKRD30A,0,0
ANKRD30B,0.016766528,0.021305211
ANKRD31,0.008399581,-0.049296685
ANKRD33B,0.066550475,0.047192949
ANKRD34A,-0.24264133,-0.034344336
ANKRD34B,0,0
ANKRD34C,0,0
ANKRD35,0.009713097,0.019557875
ANKRD36,0.571277741,0.044344544
ANKRD36B,0.607082886,-0.032979697
ANKRD36C,0.351395689,-0.066757791
ANKRD37,0.85710181,3.548766985
ANKRD39,-0.249391838,0.056186665
ANKRD40,-0.05418068,-0.075297916
ANKRD42,0.018890541,0.03381584
ANKRD44,-0.06221934,-0.000894184
ANKRD45,-0.014017099,0.007334433
ANKRD46,-0.307297176,-0.495928678
ANKRD49,-0.007721478,-0.119580745
ANKRD50,0.690551592,0.49325814
ANKRD52,-0.637236384,-0.295301932
ANKRD53,-0.01519615,-0.012482987
ANKRD54,-0.086423195,0.352534819
ANKRD6,-0.156624907,-0.113187969
ANKRD61,0.002867477,-0.063610649
ANKRD62,0,0.015422477
ANKRD65,-0.023623994,0.268241012
ANKRD9,-0.330630967,0.769695563
ANKS1A,0.009229447,-0.341485964
ANKS1B,0.35425886,0.057495711
ANKS3,-0.139867679,-0.264398144
ANKS4B,0.01690283,0
ANKS6,-0.141719176,-0.555471436
ANKUB1,0,0.014866243
ANKZF1,1.141350748,1.762251499
ANLN,0.97812054,3.069332484
ANO1,-0.003794126,0.092831676
ANO10,0.241777195,0.567323277
ANO2,0,-0.006254995
ANO5,0,-0.006254995
ANO6,1.315635813,1.669510364
ANO7,-0.00117574,-0.03712953
ANO8,0.492708748,0.960445746
ANO9,0.557514611,0.233994619
ANOS1,-0.058843361,0
ANP32A,-0.329132307,-0.026949368
ANP32B,0.091103254,0.940228843
ANP32E,0.336078831,0.22376829
ANPEP,0.770503178,0.442055607
ANTXR1,0.363446658,-0.329319792
ANTXR2,1.006709209,0.111903235
ANXA1,0.096018737,0.667399124
ANXA11,0.041483361,0.053169235
ANXA13,0.009645353,-0.00737858
ANXA2,0.679922939,1.886216825
ANXA2P2,0.05673978,0.057264661
ANXA2R,0.041517245,0.002621834
ANXA3,0.465701485,0.664877332
ANXA4,0.182509685,-0.205686343
ANXA5,0.428426465,1.332782654
ANXA6,0.007703134,0.336451628
ANXA7,-0.552473144,-0.376109677
ANXA8,0.1339727,-0.796253826
ANXA8L1,0.529194878,-0.786219755
ANXA9,0.355228105,0.243646616
AOC1,0.045049282,-0.062187456
AOC2,0.120586795,0.195181201
AOC3,0.026083412,0.262430631
AOX1,0.943597809,0.949320677
AP1AR,0.023888232,-0.365132464
AP1B1,-0.558063897,0.550339835
AP1G1,0.41692534,0.58819027
AP1G2,0.232010878,0.004783764
AP1M1,0.013421841,0.230907231
AP1M2,-0.059632073,0.043790431
AP1S1,-0.086402855,0.655789464
AP1S2,0.285334232,0.520910401
AP1S3,0.046073773,0.076257896
AP2A1,0.300454947,1.439889226
AP2A2,0.152380588,0.373230134
AP2B1,0.577751137,1.125628897
AP2M1,0.057051211,0.827154803
AP2S1,-0.396094107,1.30791237
AP3B1,0.182262847,0.747290292
AP3B2,0.064144035,-0.112128789
AP3D1,0.067996724,0.057491659
AP3M1,-0.098673444,0.139788242
AP3M2,-0.306819715,-0.324001222
AP3S1,0.388275148,1.195146431
AP3S2,-0.089755075,0.296903534
AP4B1,-0.189512549,-0.129705745
AP4E1,-0.243015246,-0.452194946
AP4M1,0.017244277,-0.05367689
AP4S1,-0.087017034,-0.107535444
AP5B1,0.0476779,-0.539367408
AP5M1,-0.162978112,-0.340663327
AP5S1,0.056068769,-0.538686328
AP5Z1,0.054348532,-0.60347096
APAF1,0.335549907,1.021248628
APBA1,-0.058843361,0
APBA2,0.00850234,-0.01094571
APBA3,0.112944289,-0.202790572
APBB1,-0.005294589,-0.049296699
APBB1IP,0,0
APBB2,0.717039797,-0.37157181
APBB3,0.050489427,-0.431333029
APC,0.222986106,-0.014310224
APC2,0.132121378,-0.137492969
APCDD1,-0.003860859,0.008816107
APCDD1L,0.028978889,0.00262184
APEH,-0.598251785,0.435868423
APELA,-0.023595731,0
APEX1,-0.122401252,0.166884908
APEX2,-0.09648322,-0.344027981
APH1A,-0.057290682,0.633704562
APH1B,0.360497483,0.308764877
API5,-0.316719279,-0.564652797
APIP,-0.598879294,0.225759654
APLF,-0.013340695,-0.090381983
APLN,0.017921515,1.32526978
APLP1,-0.049854653,0.281256832
APLP2,0.63541233,1.077361149
APMAP,-0.090289261,0.677639858
APOA1,0,-0.012482976
APOBEC2,0.073891709,0.002621834
APOBEC3B,0.108463238,0.597891696
APOBEC3C,0.80152047,0.87350935
APOBEC3D,0.031354012,-0.041680435
APOBEC3F,0.234724202,-0.129830679
APOBEC3G,0.26370441,0.011526001
